 Malaysia,2317,5840,48[8],0.93,2.34,0.217,42552
 Maldives,,,48,,,,2014
 Mali,576,1513,48[144],0.23,0.61,0.623,2014
 Malta,10554,13836,40,5.07,6.65,0.384,42736
 Marshall Islands,4160,3981,40[148],2,1.91,1.24,31477
 Mauritania,1109,3810,40,0.53,1.83,0.867,40787
 Mauritius,888,1618,45,0.38,0.69,0.083,2014
 Mexico,1221,2401,48,0.49,0.96,0.139,42370
 Moldova,638,1838,40,0.31,0.88,0.365,42125
 Monaco,23487,,39,11.58,,17%[156],42736
 Mongolia,1346,3443,40,0.65,1.66,0.282,42736
 Montenegro,2562,4980,40,1.23,2.39,0.322,41395
 Morocco,3664,8580,44[162],1.6,3.75,1.097,42186
 Mozambique,571,2150,40,0.27,1.03,1.813,41760
 Myanmar,886,3143,44,0.39,1.37,0.575,42248
 Namibia,,,45,,,,2014
 Nauru,,,40[165],,,,2014
   Nepal,893,2815,48,0.36,1.13,1.145,41435
 Netherlands,21397,20686,40[169],10.29,9.95,0.427,43101
 New Zealand,22805,20306,40,10.96,9.76,0.549,42826
 Nicaragua,1336,3474,48,0.54,1.39,0.669,42248
 Niger,608,1615,40,0.29,0.78,1.694,41138
 Nigeria,1122,1996,40,0.54,0.96,0.333,40544
 North Korea,,,,,,,2014
 Northern Cyprus,6600,,40,,,,42767
 Norway,,,37.5,,,,2014
 Oman,10143,19506,45,4.33,8.34,0.51,41456
 Pakistan,1718,5748,48,0.69,2.3,1.14,42522
 Palau,6240,5898,40[175],3,2.84,0.386,41913
 Palestine,,,0,,,,2014
 Panama,3819,6435,48,1.53,2.58,0.29,43101
 Papua New Guinea,2645,3343,44[181],1.16,1.46,1.261,41852
 Paraguay,3860,8661,48,1.55,3.47,0.943,41699
 Peru,3203,6014,48,1.28,2.41,0.485,41061
 Philippines,2803,6623,48[185],1.12,2.65,0.9,43013
 Poland,6087,12466,40,2.93,5.99,0.477,43101
 Portugal,7864,10250,40,3.78,4.93,0.351,43101
 Qatar,,,48,,,,2013
 Republic of Macedonia,2261,5347,40,1.09,2.57,0.384,42430
 Republic of the Congo,1821,6043,40,0.88,2.91,0.949,2015
 Romania,4678,9862,40,2.25,4.74,0.461,43101
 Russia,1110,3106,40,0.53,1.49,0.127,43101
 Rwanda,,,45,,,,2013
 Saint Kitts and Nevis,6933,8898,40[191],3.33,4.28,0.365,41944
 Saint Lucia,,,40,,,,2013
 Saint Vincent and the Grenadines,2407,3298,40,1.16,1.59,0.299,39630
 Samoa,1622,2240,40,0.78,1.08,0.378,2012
 San Marino,19931,25306,37.5[196],10.22,12.98,0.401,42736
 Saudi Arabia,9600,19017,48,3.85,7.62,0.356,41307
 Senegal,642,1610,40,0.31,0.77,0.662,35065
 Serbia,3271,7338,40,1.57,3.53,0.544,42736
 Seychelles,4170,6287,40[203],2,3.02,0.231,41640
 Sierra Leone,1181,2480,40,0.57,1.19,1.559,42005
 Singapore,,,44,,,,2013
 Slovakia,6463,10241,40,3.11,4.92,0.355,43101
 Slovenia,10915,14401,40,5.25,6.92,0.463,42736
 Solomon Islands,946,948,45,0.4,0.41,0.434,39569
 Somalia,,,48,,,,2013
 South Africa,,,45,,,,2013
 South Korea,13499,15292,40,6.49,7.35,0.443,43101
 South Sudan,,,,,,,2011
 Spain,11195,13097,40,5.38,6.3,0.379,42736
 Sri Lanka,824,2499,45,0.35,1.07,0.213,42370
 Sudan,846,1266,40,0.41,0.61,0.303,2008
 Suriname,,,45,,,,2013
 Swaziland,694,1128,48,0.33,0.54,0.19,2011
 Sweden,,,40,,,,2017
  Switzerland,,,41.7[219][220],,,,2014
 Syria,2112,2850,40,1.02,1.37,0.54,2013
 São Tomé and Príncipe,,,,,,,2013
 Taiwan,8366,18199,40,4.02,8.75,0.389,43101
 Tajikistan,487,1444,40,0.23,0.69,0.52,41518
 Tanzania,220,616,45[224],0.09,0.26,0.231,41456
 Thailand,2652,7223,48,1.06,2.89,0.443,41275
 The Bahamas,10920,9448,40,5.25,4.54,0.397,42231
 The Gambia,317,1109,48,0.13,0.44,0.674,2015
 Timor-Leste,1380,2062,44,0.6,0.9,0.913,41082
 Togo,708,1789,40,0.34,0.86,1.226,40909
 Tonga,,,40,,,,2013
 Trinidad and Tobago,4682,5598,40,2.25,2.69,0.172,42005
 Tunisia,1162,3085,48,0.47,1.24,0.271,2011
 Turkey,7063,13792,45,3.02,5.89,0.703,42736
 Turkmenistan,1834,4556,40,0.88,2.19,0.276,42005
 Tuvalu,,,,,,,2013
 Uganda,21,61,40,0.01,0.03,0.033,30682
 Ukraine,1503,7303,40,0.72,3.51,0.923,42736
 United Arab Emirates,,,48,,,,2013
 United Kingdom,20063,18577,38.1[234],10.13,9.38,0.45,42826
 United States,15080,15080,40,7.25,7.25,0.27,40018
 Uruguay,4138,5766,48,1.66,2.31,0.272,42005
 Uzbekistan,503,1417,40,0.24,0.68,0.236,41883
 Vanuatu,3244,3029,40,1.56,1.46,1.188,41141
 Venezuela,21,12,40,0.01,0.01,0.001,43040
 Vietnam,1327,3259,40,0.64,1.57,0.541,42370
 Yemen,,,48,,,,2013
 Zambia,608,1948,48,0.24,0.78,0.506,41094
 Zimbabwe,,,,,,,2012
