 Venezuela,0.01,1, Gibraltar,100,5,Mali,56,1,Rank,Country,2016 EPI Score,, ,Education,EduRank,inovation,InoRank,Infrastructure,InfaRank,ICT access,ICTRank
   Nepal,1.13,2, Finland,70,4,Liberia,21,1,137,Maldives,57.1,2,Romania,84,2,42,4,37,4,52,3
 Sierra Leone,1.19,2, Montserrat,67.8,4,Cambodia,19,1,136,Cameroon,57.13,2,Algeria,83,2,108,1,79,2,82,2
 Tunisia,1.24,2, Ghana,66.67,4,Gambia,19,1,135,Uganda,57.56,2,Bahrain,82,2,66,3,38,4,29,4
 Bangladesh,1.3,2, Philippines,63.72,4,Guyana,18,1,134,Vanuatu,57.74,2,Oman,81,2,77,3,56,3,41,4
 Indonesia,1.3,2, Malaysia,62.57,4,Mongolia,17,1,133,Nigeria,58.27,2,Mexico,80,2,58,3,53,3,81,2
 Lesotho,1.36,2,  Switzerland,61.28,4,Viet Nam,16,1,132,Tanzania,58.34,2,Honduras,79,2,104,1,104,1,100,2
 Myanmar,1.37,2, Belgium,60,3,Republic of Moldova,16,1,131,Viet Nam,58.5,2,Kazakhstan,78,2,78,2,60,3,37,4
 Syria,1.37,2, Slovenia,59,3,Uganda,16,1,130,Ghana,58.89,2,Malaysia,77,3,37,4,45,4,59,3
 Nicaragua,1.39,2, Federated States of Micronesia,57.66,3,Vanuatu,15,1,129,Zimbabwe,59.25,2,Singapore,76,3,7,5,2,5,11,5
 Kazakhstan,1.4,2, Pakistan,57,3,Nicaragua,15,1,128,Congo,59.56,2,South Africa,75,3,57,3,75,3,76,3
 Afghanistan,1.44,2, Luxembourg,56,3,Honduras,14,1,127,Cote d'Ivoire,59.89,2,Canada,74,3,18,5,18,5,25,5
 Cape Verde,1.45,2, Nigeria,53.34,3,Gabon,13,1,126,Oman,60.13,2,Hong Kong (China),73,3,16,5,4,5,4,5
 Papua New Guinea,1.46,2, Greece,51,3,Dominican Republic,13,1,125,Kiribati,60.48,2,Turkey,72,3,43,4,68,3,69,3
 Vanuatu,1.46,2, Estonia,50,3,Montenegro,13,1,124,Swaziland,60.63,2,Mongolia,71,3,52,3,86,2,80,2
 Comoros,1.48,2, Samoa,49.86,3,The former Yugoslav Republic of Macedonia,13,1,123,Kenya,62.49,2,Serbia,70,3,62,3,52,3,45,4
 Russia,1.49,2, Papua New Guinea,49.76,3,Mexico,12,1,122,Antigua and Barbuda,62.55,2,Senegal,69,3,100,2,106,1,102,2
 Kuwait,1.5,2, Croatia,49,3,India,12,1,120,Bosnia and Herzegovina,63.28,2,Brunei Darussalam,68,3,71,3,55,3,47,4
 China,1.51,2, Puerto Rico,48.61,3,Iran (Islamic Republic of),11,1,120,Grenada,63.28,2,Rwanda,67,3,99,2,85,2,117,1
 Armenia,1.57,3, Sri Lanka,47,3,Philippines,11,1,119,Libya,63.29,2,Morocco,66,3,72,3,51,4,71,3
 Vietnam,1.57,3,   Nepal,46.49,3,Lao People's Democratic Republic,10,1,118,Uzbekistan,63.67,2,Chile,65,3,46,4,47,4,56,3
 Saint Vincent and the Grenadines,1.59,3, Hong Kong,46.07,3,Tajikistan,10,1,117,Senegal,63.73,2,Mozambique,64,3,107,1,110,1,111,1
 Mongolia,1.66,3, Latvia,46,3,Serbia,10,1,116,Iraq,63.97,2,Bulgaria,63,3,36,4,48,4,53,3
 Chad,1.68,3, Jordan,45,3,Myanmar,9,1,115,Nicaragua,64.19,2,Jamaica,62,3,84,2,108,1,85,2
 Equatorial Guinea,1.7,3, Saint Lucia,43.03,3,Botswana,9,1,114,Mongolia,64.39,2,Kuwait,61,3,56,3,49,4,39,4
 Guyana,1.71,3, Aruba,42.31,3,El Salvador,9,1,113,Kuwait,64.41,2,Slovakia,60,3,34,4,35,4,45,4
 Mauritania,1.83,3, Zimbabwe,41.58,3,Armenia,9,1,112,Seychelles,64.92,2,Luxembourg,59,3,12,5,24,5,1,5
 Marshall Islands,1.91,3, Lebanon,40,3,Morocco,8,1,111,Georgia,64.96,2,Egypt,58,3,105,1,93,2,78,2
 Honduras,1.94,3, Brunei,39.07,3,Thailand,8,1,110,Bhutan,64.99,2,Hungary,57,3,39,4,46,4,35,4
 Jamaica,1.96,3, France,39,3,Uruguay,8,1,109,China,65.1,2,Brazil,56,3,69,3,57,3,66,3
 Dominica,2.01,3, Botswana,38.42,3,Colombia,8,1,108,Sri Lanka,65.55,3,Tunisia,55,3,74,3,70,3,79,2
 Laos,2.08,3, Cameroon,38,3,Djibouti,8,1,107,Indonesia,65.85,3,Tajikistan,54,3,94,2,120,1,127,1
 Fiji,2.14,3, Lithuania,38,2,Venezuela (Bolivarian Republic of),8,1,106,Zambia,66.06,3,Namibia,53,3,97,2,92,2,97,2
 Turkmenistan,2.19,3, Seychelles,37.93,2,Swaziland,7,1,105,Iran,66.32,3,"Bolivia, Plurinational State of",52,3,106,1,102,2,95,2
 Bosnia and Herzegovina,2.2,3, Poland,37,2,Egypt,7,1,104,Egypt,66.45,3,TFYR Macedonia,51,4,61,3,80,2,60,3
 Pakistan,2.3,3, Egypt,35,2,Indonesia,7,1,103,Ecuador,66.58,3,Saudi Arabia,50,4,55,3,40,4,42,4
 Uruguay,2.31,3, Iraq,35,2,Brazil,7,1,102,Tonga,66.86,3,Niger,49,4,123,1,112,1,125,1
 Azerbaijan,2.34,3, Italy,34,2,Chile,7,1,101,Syria,66.91,3,Italy,48,4,29,4,19,5,33,4
 Malaysia,2.34,3, Solomon Islands,31.68,2,Azerbaijan,7,1,100,Gabon,67.37,3,Lithuania,47,4,40,4,31,4,49,4
 Montenegro,2.39,3, South Africa,31,2,Cabo Verde,6,1,99,Turkey,67.68,3,Japan,46,4,14,5,9,5,10,5
 Peru,2.41,3, Romania,31,2,Turkey,6,2,98,Brunei Darussalam,67.86,3,Mauritius,45,4,64,3,64,3,53,3
 Iraq,2.43,3, Tonga,30,2,State of Palestine,6,2,97,El Salvador,68.07,3,Israel,44,4,17,5,28,4,18,5
 Albania,2.51,3, Lesotho,27.86,2,Bosnia and Herzegovina,5,2,96,Suriname,68.58,3,Czech Republic,43,4,24,5,30,4,38,4
 Barbados,2.54,3, Thailand,27.16,2,Albania,5,2,95,Saudi Arabia,68.63,3,Zimbabwe,42,4,121,1,127,1,105,1
 Republic of Macedonia,2.57,3, Portugal,27,2,Algeria,5,2,94,Lebanon,69.14,3,United States of America,41,4,4,5,21,5,19,5
 Panama,2.58,3, Czechia,27,2,Ecuador,5,2,93,The Bahamas,69.34,3,"Korea, Republic of",40,4,11,5,13,5,8,5
 Brazil,2.61,3, Slovakia,26,2,Iraq,5,2,92,United Arab Emirates,69.35,3,Montenegro,39,4,48,4,54,3,55,3
 Costa Rica,2.65,3, Bulgaria,25,2,Bahrain,5,2,91,Thailand,69.54,3,Spain,38,4,28,4,10,5,28,4
 Philippines,2.65,3, Kiribati,24.21,2,Argentina,4,2,90,Equatorial Guinea,69.59,3,Uruguay,37,4,67,3,43,4,43,4
 Trinidad and Tobago,2.69,3, Spain,22,2,Bangladesh,4,2,88,Guatemala,69.64,3,Poland,36,4,38,4,41,4,48,4
 Colombia,2.75,4, Andorra,22,2,Georgia,4,2,88,Honduras,69.64,3,Latvia,35,4,33,4,42,4,40,4
 Bolivia,2.8,4, Fiji,20.62,2,Timor-Leste,4,2,87,Qatar,69.94,3,Argentina,34,4,76,3,65,3,58,3
 Algeria,2.84,4, Hungary,20,2,Costa Rica,4,2,86,Bahrain,70.07,3,Costa Rica,33,4,53,3,61,3,65,3
 Palau,2.84,4, Cook Islands,19.8,2,Suriname,4,2,85,Samoa,70.2,3,Kyrgyzstan,32,4,95,2,94,2,97,2
 Kosovo,2.85,4, Kenya,18.83,2,Syrian Arab Republic,4,2,84,Turkmenistan,70.24,3,"Moldova, Republic of",31,4,54,3,82,2,61,3
 Belize,2.88,4, Bangladesh,18,2,Saint Lucia,4,2,83,Algeria,70.28,3,Ukraine,30,4,50,4,90,2,64,3
 Guatemala,2.88,4, Madagascar,18,1,Portugal,3,2,82,Paraguay,70.36,3,Germany,29,4,9,5,20,5,5,5
 Thailand,2.89,4, Namibia,17.24,1,Jamaica,3,2,81,South Africa,70.52,3,Switzerland,28,4,1,5,6,5,9,5
 Republic of the Congo,2.91,4, Turkey,17,1,Belize,3,2,80,South Korea,70.61,3,France,27,4,15,5,12,5,11,5
 Belarus,2.95,4, Zambia,16.02,1,Bhutan,3,2,79,Botswana,70.72,3,Australia,26,5,23,5,7,5,20,5
 Seychelles,3.02,4, Mauritius,15.97,1,Panama,3,2,78,Namibia,70.84,3,Estonia,25,5,25,5,11,5,24,5
 Chile,3.1,4, Kazakhstan,15.4,1,Ukraine,2,2,77,Mauritius,70.85,3,Austria,24,5,20,5,16,5,15,5
 Jordan,3.12,4, Rwanda,15,1,Kazakhstan,2,2,76,Bolivia,71.09,3,Russian Federation,23,5,45,4,62,3,44,4
 Paraguay,3.47,4, Morocco,14,1,Tunisia,2,2,75,Guyana,71.14,3,United Kingdom,22,5,5,5,5,5,3,5
 Lebanon,3.49,4, Mexico,12.9,1,Barbados,2,2,74,Jordan,72.24,3,Cyprus,21,5,30,4,59,3,51,4
 Ukraine,3.51,4, India,12.18,1,Lebanon,2,2,73,Peru,72.95,3,Ireland,20,5,10,5,17,5,22,5
 Gabon,3.53,4, Tanzania,9.89,1,Jordan,2,2,72,Tajikistan,73.05,4,Portugal,19,5,31,4,39,4,26,5
 Serbia,3.53,4, Chile,9.53,1,Belarus,1,3,71,Kyrgyz Republic,73.13,4,Netherlands,18,5,3,5,14,5,7,5
 Bulgaria,3.61,4, Yemen,9,1,Sri Lanka,1,3,70,Dominica,73.25,4,Viet Nam,17,5,47,4,77,3,90,2
